pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/27/2019,85.2,2.6665,4.5215,Alex Claudio,547172,592222,walk,ball,,,,,14,Tony Wolters walks.   Trevor Story scores.    Daniel Murphy to 3rd.    Sam Hilliard to 2nd.  ,R,L,L,COL,MIL,B,null,null,3,2,2019,1.17,-0.4229,1.2081,0.9178,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021538,-5.5256,-123.9208,-1.4339,12.5915,20.4805,-36.3903,3.18,1.4504,null,null,null,83.901,1983,5.077,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.4222,null,null,0.7,1,0,0,null,53,6,Sinker,3,2,3,2,2,3,3,2,Strategic,Standard
CH,9/27/2019,77.2,2.5195,4.7612,Alex Claudio,547172,592222,null,ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,2,2,2019,1.5218,-0.2547,-0.8242,1.1288,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021512,-9.7009,-112.016,-0.3465,14.2339,18.2433,-34.4552,3.0107,1.378,null,null,null,76.594,2229,5.793,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.7069,null,null,null,null,null,null,null,53,5,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard
CH,9/27/2019,75.2,2.7314,4.6886,Alex Claudio,547172,592222,null,blocked_ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,1,2,2019,1.4476,-0.0494,-0.3183,0.5117,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021444,-8.724,-109.204,-1.4717,12.8057,16.9305,-32.5515,3.1117,1.52,null,null,null,74.719,2224,5.781,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.7184,null,null,null,null,null,null,null,53,4,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard
SI,9/27/2019,85,2.6963,4.6567,Alex Claudio,547172,592222,null,foul,,,,,9,null,R,L,L,COL,MIL,S,null,null,1,1,2019,1.2236,-0.2055,0.6634,1.7651,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021412,-6.9434,-123.6319,-0.1949,13.3154,19.509,-34.4144,3.1849,1.52,5,73.4,-21.2,83.942,1958,5.158,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.3411,null,null,null,null,null,null,null,53,3,Sinker,3,2,3,2,2,3,3,2,Standard,Standard
CH,9/27/2019,77,2.4993,4.6776,Alex Claudio,547172,592222,null,blocked_ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,0,1,2019,1.3304,0.0633,-1.4033,0.4037,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021340,-10.4348,-111.6135,-2.2159,12.5452,17.3014,-31.5301,3.1474,1.5157,null,null,null,76.126,2299,5.563,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.9364,null,null,null,null,null,null,null,53,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard
SI,9/27/2019,85.5,2.5271,4.6751,Alex Claudio,547172,592222,null,swinging_strike,,,,,14,null,R,L,L,COL,MIL,S,null,null,0,0,2019,1.3138,-0.4233,0.2295,1.3113,596115,502517,656541,1,6,Bot,null,null,,,518735,,190928_021315,-7.7392,-124.1311,-0.8448,14.5065,23.0094,-36.4886,3.2922,1.52,null,null,null,83.734,2091,5.088,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.412,null,null,null,null,null,null,null,53,1,Sinker,3,2,3,2,2,3,3,2,Standard,Standard
SI,9/27/2019,85.8,2.6838,4.5553,Alex Claudio,656541,592222,walk,ball,,,,,14,Sam Hilliard walks.  ,R,L,L,COL,MIL,B,null,null,3,2,2019,1.2959,-0.1942,1.3849,1.2307,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021235,-5.4504,-124.6736,-1.2592,14.058,22.4437,-34.1528,3.5283,1.7291,null,null,null,84.342,1975,5.182,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.3179,null,null,0.7,1,0,0,null,52,6,Sinker,3,2,3,2,2,3,3,2,Strategic,Standard
SL,9/27/2019,78.3,2.6241,4.7836,Alex Claudio,656541,592222,null,ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,2,2,2019,-0.303,0.0901,-3.421,1.5587,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021207,-12.1943,-113.1661,-0.1322,-0.1308,21.9714,-31.6919,3.5162,1.6665,null,null,null,76.197,2302,5.294,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.2057,null,null,null,null,null,null,null,52,5,Slider,3,2,3,2,2,3,3,2,Strategic,Standard
CH,9/27/2019,75,2.5697,4.843,Alex Claudio,656541,592222,null,foul,,,,,8,null,R,L,L,COL,MIL,S,null,null,2,1,2019,1.6793,0.0295,0.186,1.9172,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021135,-7.6462,-109.0309,0.8927,14.2164,14.777,-32.2661,3.2664,1.64,null,null,null,74.432,2214,5.417,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.0823,null,null,null,null,null,null,null,52,4,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard
SI,9/27/2019,84.6,2.6473,4.6227,Alex Claudio,656541,592222,null,blocked_ball,,,,,13,null,R,L,L,COL,MIL,B,null,null,1,1,2019,1.5079,-0.5561,-0.0022,0.6267,596115,502517,null,1,6,Bot,null,null,,,518735,,190928_021109,-8.8591,-122.8125,-1.9243,16.3599,21.3411,-37.5434,3.422,1.64,null,null,null,83.249,1960,5.254,565491,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.2458,null,null,null,null,null,null,null,52,3,Sinker,3,2,3,2,2,3,3,2,Strategic,Standard
