pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SL,9/25/2019,85.4,-1.272,6.2966,Zack Greinke,621005,425844,single,hit_into_play_no_out,,,,,9,Tim Lopes singles on a line drive to right fielder George Springer.   Austin Nola to 2nd.  ,R,R,R,SEA,HOU,X,9,line_drive,2,2,2019,0.7808,0.173,0.3241,1.698,null,null,543592,1,9,Bot,168.65,112.76,,,455139,,190926_043537,2.2086,-124.2091,-4.8481,7.4571,22.0905,-29.8121,3.37,1.67,231,87.5,15.1,84.196,2679,5.277,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.2222,0.95,0.883,0.9,1,1,0,4,63,5,Slider,0,3,0,3,3,0,0,3,Standard,Standard
SL,9/25/2019,86.5,-1.1074,6.4212,Zack Greinke,621005,425844,null,ball,,,,,7,null,R,R,R,SEA,HOU,B,null,null,1,2,2019,0.721,0.4397,-0.6462,1.9351,null,null,543592,1,9,Bot,null,null,,,455139,,190926_043507,-0.312,-125.8605,-5.3473,7.5477,22.3854,-26.8826,3.5484,1.7476,null,null,null,85.614,2525,5.447,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.0524,null,null,null,null,null,null,null,63,4,Slider,0,3,0,3,3,0,0,3,Standard,Standard
FF,9/25/2019,90.3,-1.0322,6.3931,Zack Greinke,621005,425844,null,swinging_strike,,,,,8,null,R,R,R,SEA,HOU,S,null,null,1,1,2019,-0.2061,1.5951,0.1269,1.9754,null,null,543592,1,9,Bot,null,null,,,455139,,190926_043445,3.2859,-131.3404,-8.3517,-2.9905,25.1809,-12.5233,3.4707,1.67,null,null,null,89.89,2410,5.851,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.6484,null,null,null,null,null,null,null,63,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard
SL,9/25/2019,86.4,-1.2272,6.3971,Zack Greinke,621005,425844,null,swinging_strike,,,,,9,null,R,R,R,SEA,HOU,S,null,null,1,0,2019,0.7065,0.4061,0.6074,2.0681,null,null,543592,1,9,Bot,null,null,,,455139,,190926_043425,2.9371,-125.7814,-4.9002,6.8009,22.0557,-27.3396,3.463,1.67,null,null,null,85.462,2484,5.357,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.1427,null,null,null,null,null,null,null,63,2,Slider,0,3,0,3,3,0,0,3,Standard,Strategic
FF,9/25/2019,89.8,-0.9739,6.3751,Zack Greinke,621005,425844,null,ball,,,,,14,null,R,R,R,SEA,HOU,B,null,null,0,0,2019,-0.2836,1.5254,1.2909,1.0331,null,null,543592,1,9,Bot,null,null,,,455139,,190926_043405,6.1079,-130.3272,-10.301,-4.2964,23.5133,-13.3486,3.5018,1.67,null,null,null,89.149,2394,5.719,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.7806,null,null,null,null,null,null,null,63,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic
CU,9/25/2019,71.6,-1.2583,6.1325,Zack Greinke,543592,425844,single,hit_into_play_no_out,,,,,7,Austin Nola singles on a line drive to left fielder Kyle Tucker.  ,R,R,R,SEA,HOU,X,7,line_drive,3,2,2019,1.0711,-1.1548,-0.5372,1.7591,null,null,null,1,9,Bot,106.05,80.05,,,455139,,190926_043231,-0.2888,-104.0568,0.7276,7.4688,17.9861,-40.5895,3.45,1.63,286,85.2,21.4,69.829,2471,5.027,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.4722,0.466,0.424,0.9,1,1,0,3,62,6,Curveball,0,3,0,3,3,0,0,3,Standard,Standard
CH,9/25/2019,88.9,-1.282,6.1727,Zack Greinke,543592,425844,null,ball,,,,,14,null,R,R,R,SEA,HOU,B,null,null,2,2,2019,-0.7626,0.3942,1.0865,0.2983,null,null,null,1,9,Bot,null,null,,,455139,,190926_043200,7.3464,-129,-9.1207,-9.9282,25.2816,-26.2115,3.5438,1.63,null,null,null,88.627,1956,6.145,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.3542,null,null,null,null,null,null,null,62,5,Changeup,0,3,0,3,3,0,0,3,Standard,Standard
CU,9/25/2019,68.6,-1.04,6.3015,Zack Greinke,543592,425844,null,ball,,,,,14,null,R,R,R,SEA,HOU,B,null,null,1,2,2019,1.2454,-1.1015,1.249,1.7216,null,null,null,1,9,Bot,null,null,,,455139,,190926_043139,2.3496,-99.6052,0.9469,7.4114,17.9783,-39.5959,3.5749,1.63,null,null,null,66.522,2442,4.968,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,55.5311,null,null,null,null,null,null,null,62,4,Curveball,0,3,0,3,3,0,0,3,Standard,Standard
FF,9/25/2019,90.1,-1.0482,6.3358,Zack Greinke,543592,425844,null,swinging_strike,,,,,5,null,R,R,R,SEA,HOU,S,null,null,1,1,2019,-0.1778,1.4151,0.2419,2.504,null,null,null,1,9,Bot,null,null,,,455139,,190926_043122,3.5414,-131.0632,-6.4474,-2.753,27.3498,-15.0406,3.4891,1.63,null,null,null,89.363,2441,5.825,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.6745,null,null,null,null,null,null,null,62,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard
FF,9/25/2019,90.2,-1.01,6.3305,Zack Greinke,543592,425844,null,ball,,,,,14,null,R,R,R,SEA,HOU,B,null,null,0,1,2019,-0.1453,1.3303,1.5682,2.213,null,null,null,1,9,Bot,null,null,,,455139,,190926_043107,6.6429,-131.0522,-6.9944,-2.9793,26.2357,-15.8962,3.5437,1.63,null,null,null,89.495,2439,5.822,566448,425844,455139,493329,514888,647351,608324,663656,545350,543807,54.6773,null,null,null,null,null,null,null,62,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard
