"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-29","90.5","1.3508","6.1911","Clayton Kershaw",518516,477132,"field_out","hit_into_play",,,,,4,"Madison Bumgarner lines out to third baseman Jedd Gyorko.  ","R","R","L","SF","LAD","X",5,"line_drive",3,2,2019,"-0.4471","1.6764","-0.4059","2.6967","null","null","null",2,5,"Bot","95.69","168.33",,,669257,,"190929_204917","-3.4216","-131.6021","-6.2519","-4.3532","29.5893","-11.8044","3.4670","1.5890","120","71.9","12.4","89.8740","2492","6.0770",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.4224","0.395","0.365","0.00",1,0,0,2,41,"7","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","91.1","1.3839","6.1994","Clayton Kershaw",518516,477132,"null","foul",,,,,2,"null","R","R","L","SF","LAD","S","null","null",3,2,2019,"-0.1227","1.6108","-0.1983","2.9042","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204848","-3.7124","-132.5699","-5.8284","-0.6392","28.7363","-12.1777","3.3900","1.6200","78","74.8","81.5","91.1110","2420","6.3250",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.1745","null","null","null","null","null","null","null",41,"6","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","89.7","1.4225","6.2320","Clayton Kershaw",518516,477132,"null","ball",,,,,13,"null","R","R","L","SF","LAD","B","null","null",2,2,2019,"-0.1428","1.4165","-1.5215","0.7927","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204828","-6.9011","-130.1615","-10.3233","-0.3946","22.9449","-14.5779","3.4279","1.7828","null","null","null","89.2390","2525","5.8040",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.6954","null","null","null","null","null","null","null",41,"5","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.3","1.3502","6.2253","Clayton Kershaw",518516,477132,"null","called_strike",,,,,4,"null","R","R","L","SF","LAD","S","null","null",2,1,2019,"-0.3168","1.7980","-0.7970","2.7456","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204807","-4.6427","-131.2186","-6.3743","-2.5299","29.8624","-10.6188","3.3695","1.6710","null","null","null","89.3320","2424","5.9390",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.5604","null","null","null","null","null","null","null",41,"4","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.1","1.4813","6.3368","Clayton Kershaw",518516,477132,"null","ball",,,,,12,"null","R","R","L","SF","LAD","B","null","null",1,1,2019,"-0.3249","1.5068","0.1356","4.4578","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204748","-2.6542","-131.1899","-1.9097","-3.1984","26.8896","-14.6417","3.4869","1.6719","null","null","null","90.1550","2353","6.2190",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.2805","null","null","null","null","null","null","null",41,"3","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.7","1.2976","6.3329","Clayton Kershaw",518516,477132,"null","ball",,,,,11,"null","R","R","L","SF","LAD","B","null","null",0,1,2019,"-0.2844","1.5049","-1.0866","3.6501","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204732","-5.3640","-132.0171","-4.0489","-2.2761","26.2995","-13.8653","3.4839","1.6985","null","null","null","91.1260","2482","6.3890",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.1101","null","null","null","null","null","null","null",41,"2","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.8","1.3868","6.2242","Clayton Kershaw",518516,477132,"null","foul",,,,,2,"null","R","R","L","SF","LAD","S","null","null",0,0,2019,"-0.0121","1.7623","0.1857","3.4045","null","null","null",2,5,"Bot","null","null",,,669257,,"190929_204710","-2.9718","-132.1169","-4.8219","0.5493","30.6050","-10.9525","3.3900","1.6200","29","36.2","3.5","90.2240","2491","6.1400",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.3596","null","null","null","null","null","null","null",41,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"SL","2019-09-29","86.9","1.3294","6.3412","Clayton Kershaw",664041,477132,"strikeout","swinging_strike_blocked",,,,,13,"Jaylin Davis strikes out swinging.  ","R","R","L","SF","LAD","S",2,"null",2,2,2019,"-0.3923","0.4645","-1.3528","0.6186","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204535","-5.5896","-126.2422","-8.4331","-3.1378","23.2127","-25.9039","3.5300","1.7000","null","null","null","86.5650","2675","5.9520",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.5474","null","null","0.00",1,0,0,"null",40,"7","Slider",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"SL","2019-09-29","86.5","1.3640","6.3510","Clayton Kershaw",664041,477132,"null","foul",,,,,13,"null","R","R","L","SF","LAD","S","null","null",2,2,2019,"-0.6477","0.7718","-1.0390","2.5602","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204514","-4.3868","-125.8476","-4.3162","-5.8446","24.7049","-23.5838","3.5300","1.7000","65","97.8","1.9","85.4300","2728","5.5350",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.9649","null","null","null","null","null","null","null",40,"6","Slider",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"SL","2019-09-29","85.7","1.3870","6.4169","Clayton Kershaw",664041,477132,"null","foul",,,,,13,"null","R","R","L","SF","LAD","S","null","null",2,2,2019,"-0.5696","0.4894","-1.0086","1.8153","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204452","-4.4747","-124.5913","-5.4888","-4.9042","24.1907","-26.3980","3.5300","1.7000","null","null","null","84.5230","2683","5.4970",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"55.0028","null","null","null","null","null","null","null",40,"5","Slider",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"CU","2019-09-29","74.3","1.1022","6.3610","Clayton Kershaw",664041,477132,"null","ball",,,,,14,"null","R","R","L","SF","LAD","B","null","null",1,2,2019,"-0.0564","-1.1740","0.2298","-0.0625","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204431","-1.6742","-108.0390","-3.8229","-0.1219","20.0081","-40.7124","3.5300","1.7000","null","null","null","73.4630","2367","5.8440",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.6557","null","null","null","null","null","null","null",40,"4","Curveball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"CU","2019-09-29","72.7","1.1708","6.4309","Clayton Kershaw",664041,477132,"null","swinging_strike",,,,,13,"null","R","R","L","SF","LAD","S","null","null",1,1,2019,"-0.1877","-1.5187","-0.7717","0.3405","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204409","-3.5359","-105.7252","-2.1845","-0.7107","19.6088","-43.0964","3.5300","1.7000","null","null","null","71.6130","2399","5.6850",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.8149","null","null","null","null","null","null","null",40,"3","Curveball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.0","1.4682","6.2935","Clayton Kershaw",664041,477132,"null","foul",,,,,7,"null","R","R","L","SF","LAD","S","null","null",1,0,2019,"-0.0320","1.7489","-0.7386","2.0697","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204349","-5.3628","-130.6603","-8.0601","0.7979","28.2239","-10.9418","3.5300","1.7000","230","113.6","13.4","89.1890","2486","5.9730",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.5264","null","null","null","null","null","null","null",40,"2","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"FF","2019-09-29","90.2","1.5345","6.2454","Clayton Kershaw",664041,477132,"null","ball",,,,,13,"null","R","R","L","SF","LAD","B","null","null",0,0,2019,"-0.1487","1.6983","-1.6172","2.3778","null","null","null",1,5,"Bot","null","null",,,669257,,"190929_204332","-7.4778","-131.0467","-7.1816","-0.1592","26.9675","-11.5221","3.7061","1.8066","null","null","null","89.7650","2562","6.0510",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.4486","null","null","null","null","null","null","null",40,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Standard"
"SL","2019-09-29","87.0","1.6001","6.3708","Clayton Kershaw",474832,477132,"field_out","hit_into_play",,,,,7,"Brandon Belt grounds out, second baseman Gavin Lux to first baseman Max Muncy.  ","R","L","L","SF","LAD","X",4,"ground_ball",1,2,2019,"0.0278","0.9682","-0.7239","1.6735","null","null","null",0,5,"Bot","156.86","148.81",,,669257,,"190929_204307","-5.5809","-126.5372","-7.0290","1.3281","23.3998","-20.7972","3.5300","1.7000","45","83.0","2.0","86.6150","2553","5.8620",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.6379","0.260","0.227","0.00",1,0,0,2,39,"4","Slider",0,5,0,5,5,0,0,5,"Infield shift","Strategic"
"SL","2019-09-29","87.2","1.5410","6.3023","Clayton Kershaw",474832,477132,"null","ball",,,,,13,"null","R","L","L","SF","LAD","B","null","null",0,2,2019,"0.0864","0.6293","-0.8468","-0.5038","null","null","null",0,5,"Bot","null","null",,,669257,,"190929_204239","-5.8176","-126.4911","-11.3362","1.9064","21.5626","-23.7915","3.2250","1.4477","null","null","null","86.4320","2677","5.6090",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.8902","null","null","null","null","null","null","null",39,"3","Slider",0,5,0,5,5,0,0,5,"Infield shift","Strategic"
"FF","2019-09-29","90.7","1.5234","6.2684","Clayton Kershaw",474832,477132,"null","called_strike",,,,,4,"null","R","L","L","SF","LAD","S","null","null",0,1,2019,"0.0908","1.5089","-0.6571","2.1640","null","null","null",0,5,"Bot","null","null",,,669257,,"190929_204224","-5.6108","-131.9656","-7.5546","2.0780","23.9560","-13.4001","3.2913","1.5144","null","null","null","90.7490","2429","6.0000",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.4996","null","null","null","null","null","null","null",39,"2","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Strategic"
"FF","2019-09-29","91.5","1.4780","6.3117","Clayton Kershaw",474832,477132,"null","swinging_strike",,,,,1,"null","R","L","L","SF","LAD","S","null","null",0,0,2019,"-0.1069","1.5656","-0.6939","3.3542","null","null","null",0,5,"Bot","null","null",,,669257,,"190929_204211","-5.2076","-133.1046","-4.8919","-0.2056","26.8182","-13.0383","3.2500","1.5900","null","null","null","90.9910","2485","5.8610",566551,477132,669257,571970,666158,576397,608369,607461,571771,621035,"54.6387","null","null","null","null","null","null","null",39,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shift","Strategic"
"SL","2019-09-26","87.2","1.0030","6.3049","Clayton Kershaw",592518,477132,"strikeout","swinging_strike",,,,,7,"Manny Machado strikes out swinging.  ","R","R","L","SD","LAD","S",2,"null",2,2,2019,"-0.4123","0.6085","-0.3388","1.8434","null",620443,"null",2,6,"Bot","null","null",,,669257,,"190926_212652","-2.3735","-126.8192","-5.7097","-3.8430","27.7960","-24.7341","3.6400","1.7400","null","null","null","86.3690","2571","5.9510",566355,477132,669257,501896,571970,576397,571771,572041,621035,502117,"54.5482","null","null","0.00",1,0,0,"null",44,"5","Slider",0,1,0,1,1,0,0,1,"Standard","Standard"
"CU","2019-09-26","74.4","0.8531","6.2655","Clayton Kershaw",592518,477132,"null","blocked_ball",,,,,14,"null","R","R","L","SD","LAD","B","null","null",1,2,2019,"-0.1136","-1.5786","0.6577","-1.2563","null",620443,"null",2,6,"Bot","null","null",,,669257,,"190926_212600","-0.2021","-108.2129","-5.2884","-0.8298","22.6198","-43.4562","3.7427","1.7588","null","null","null","73.5310","2471","6.1170",566355,477132,669257,501896,571970,576397,571771,572041,621035,502117,"54.3829","null","null","null","null","null","null","null",44,"4","Curveball",0,1,0,1,1,0,0,1,"Standard","Standard"
