pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/29/2019,87.6,2.7736,3.7201,Adam Kolarek,573262,592473,field_out,hit_into_play,,,,,14,Mike Yastrzemski grounds out to first baseman Max Muncy.  ,R,L,L,SF,LAD,X,3,ground_ball,1,1,2019,1.5164,-0.331,0.954,1.3528,null,null,null,2,6,Bot,158.67,160.93,,,669257,,190929_211048,-7.3352,-127.2664,1.0406,17.5617,24.4776,-36.1346,3.34,1.58,12,93.4,-5.3,86.666,2246,5.643,566551,592473,669257,571970,666158,576397,571771,607461,621035,502117,54.8564,0.245,0.231,0,1,0,0,2,49,3,Sinker,0,5,0,5,5,0,0,5,Standard,Strategic
SI,9/29/2019,88.8,2.8344,3.6043,Adam Kolarek,573262,592473,null,called_strike,,,,,4,null,R,L,L,SF,LAD,S,null,null,1,0,2019,1.4045,-0.3868,-0.7005,2.6108,null,null,null,2,6,Bot,null,null,,,669257,,190929_211024,-11.4409,-128.6687,4.4205,17.7823,26.6347,-37.5658,3.4616,1.6247,null,null,null,87.978,2145,6.005,566551,592473,669257,571970,666158,576397,571771,607461,621035,502117,54.4948,null,null,null,null,null,null,null,49,2,Sinker,0,5,0,5,5,0,0,5,Standard,Strategic
SI,9/29/2019,88.1,2.7136,3.7997,Adam Kolarek,573262,592473,null,ball,,,,,13,null,R,L,L,SF,LAD,B,null,null,0,0,2019,1.6257,-0.0438,-1.1427,2.4227,null,null,null,2,6,Bot,null,null,,,669257,,190929_210959,-12.5727,-127.6115,2.8318,20.0641,24.5853,-33.4116,3.5931,1.6705,null,null,null,87.504,2264,6.025,566551,592473,669257,571970,666158,576397,571771,607461,621035,502117,54.4743,null,null,null,null,null,null,null,49,1,Sinker,0,5,0,5,5,0,0,5,Standard,Strategic
SI,9/26/2019,88.8,2.7048,3.5644,Adam Kolarek,571976,592473,single,hit_into_play_no_out,,,,,14,Wil Myers singles on a ground ball to right fielder Joc Pederson.  ,R,R,L,SD,LAD,X,9,ground_ball,2,1,2019,1.2049,-0.5235,0.3749,1.6172,null,null,null,0,9,Bot,170.64,109.23,,,669257,,190926_222208,-8.2483,-129.1482,2.3637,15.2007,25.457,-38.7372,3.64,1.74,75,104.5,2.2,89.184,2097,6.437,566355,592473,669257,607461,666158,571970,571771,572041,621035,592626,54.0629,0.518,0.505,0.9,1,1,0,4,62,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard
SI,9/26/2019,90.1,2.7564,3.6927,Adam Kolarek,571976,592473,null,foul,,,,,8,null,R,R,L,SD,LAD,S,null,null,2,0,2019,1.6134,-0.225,0.1821,1.5804,null,null,null,0,9,Bot,null,null,,,669257,,190926_222135,-9.7252,-130.8542,1.1839,20.3899,26.6892,-35.2034,3.45,1.56,125,72.2,16.9,89.715,2177,6.085,566355,592473,669257,607461,666158,571970,571771,572041,621035,592626,54.4143,null,null,null,null,null,null,null,62,3,Sinker,0,1,0,1,1,0,0,1,Standard,Standard
SI,9/26/2019,87.9,2.9023,3.5739,Adam Kolarek,571976,592473,null,ball,,,,,14,null,R,R,L,SD,LAD,B,null,null,1,0,2019,1.4814,-0.6847,1.1916,1.1741,null,null,null,0,9,Bot,null,null,,,669257,,190926_222115,-7.2121,-127.8338,1.704,17.7091,25.5467,-40.2424,3.5902,1.56,null,null,null,88.037,2051,6.339,566355,592473,669257,607461,666158,571970,571771,572041,621035,592626,54.1607,null,null,null,null,null,null,null,62,2,Sinker,0,1,0,1,1,0,0,1,Strategic,Standard
SI,9/26/2019,88.4,2.8563,3.5431,Adam Kolarek,571976,592473,null,ball,,,,,14,null,R,R,L,SD,LAD,B,null,null,0,0,2019,1.5348,-0.5799,0.7232,1.074,null,null,null,0,9,Bot,null,null,,,669257,,190926_222056,-8.2887,-128.4189,1.2464,18.4742,25.9975,-39.0007,3.5795,1.56,null,null,null,87.859,2104,5.993,566355,592473,669257,607461,666158,571970,571771,572041,621035,592626,54.507,null,null,null,null,null,null,null,62,1,Sinker,0,1,0,1,1,0,0,1,Strategic,Standard
SI,9/24/2019,90,2.939,3.4855,Adam Kolarek,543333,592473,strikeout,swinging_strike,,,,,14,Eric Hosmer strikes out swinging.  ,R,L,L,SD,LAD,S,2,null,2,2,2019,1.2669,-0.4654,0.9598,1.5039,null,605361,592518,2,5,Bot,null,null,,,669257,,190925_035827,-7.6354,-130.9947,2.0103,16.2238,25.7333,-38.1711,3.7,1.76,null,null,null,90.589,2101,6.478,566353,592473,669257,571970,666158,457759,608369,572041,641355,592626,54.0212,null,null,0,1,0,0,null,47,5,Sinker,3,5,3,5,5,3,3,5,Standard,Strategic
SL,9/24/2019,77.1,2.6846,3.8899,Adam Kolarek,543333,592473,null,ball,,,,,13,null,R,L,L,SD,LAD,B,null,null,1,2,2019,-0.3793,0.5953,-2.6684,0.9685,null,605361,592518,2,5,Bot,null,null,,,669257,,190925_035758,-10.6526,-111.8699,-0.3815,-1.5986,16.9356,-27.2608,3.7659,1.7073,null,null,null,77.326,null,6.252,566353,592473,669257,571970,666158,457759,608369,572041,641355,592626,54.2474,null,null,null,null,null,null,null,47,4,Slider,3,5,3,5,5,3,3,5,Standard,Strategic
SI,9/24/2019,89.3,2.8757,3.5918,Adam Kolarek,543333,592473,null,foul,,,,,8,null,R,L,L,SD,LAD,S,null,null,1,1,2019,1.3489,-0.3029,0.2006,1.8894,null,605361,592518,2,5,Bot,null,null,,,669257,,190925_035724,-9.4102,-129.7042,2.468,17.1608,26.4678,-36.3107,3.7,1.76,201,102.8,7.2,89.296,2152,6.335,566353,592473,669257,571970,666158,457759,608369,572041,641355,592626,54.1648,null,null,null,null,null,null,null,47,3,Sinker,3,5,3,5,5,3,3,5,Strategic,Strategic
