pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FC,9/29/2019,83.9,-0.8524,5.6482,Yusmeiro Petit,543592,433589,field_out,hit_into_play,,,,,9,"Austin Nola grounds out, first baseman Seth Brown to pitcher Yusmeiro Petit.   Shed Long to 2nd.  ",R,R,R,SEA,OAK,X,3,ground_ball,2,0,2019,-0.3779,1.6554,0.3298,2.1008,null,null,643418,1,7,Bot,144.75,171.97,,,572033,,190929_212751,3.5395,-122.1832,-5.2102,-4.5527,24.0249,-14.4402,3.47,1.65,15,50.8,-5.1,84.902,2177,6.893,566452,433589,572033,664913,595777,641914,620439,543257,621450,572039,53.6062,0.068,0.066,0,1,0,0,1,57,3,Cutter,3,0,3,0,0,3,3,0,Standard,Standard
FC,9/29/2019,84,-0.5894,5.7151,Yusmeiro Petit,543592,433589,null,ball,,,,,12,null,R,R,R,SEA,OAK,B,null,null,1,0,2019,0.2354,1.3142,1.5279,2.7551,null,null,643418,1,7,Bot,null,null,,,572033,,190929_212730,4.4535,-122.3265,-3.0933,1.4954,24.1135,-18.5219,3.5101,1.6761,null,null,null,84.356,2204,6.479,566452,433589,572033,664913,595777,641914,620439,543257,621450,572039,54.0208,null,null,null,null,null,null,null,57,2,Cutter,3,0,3,0,0,3,3,0,Standard,Standard
FF,9/29/2019,88,-0.6145,5.7478,Yusmeiro Petit,543592,433589,null,ball,,,,,3,null,R,R,R,SEA,OAK,B,null,null,0,0,2019,-0.6423,1.637,0.5509,3.5336,null,null,643418,1,7,Bot,null,null,,,572033,,190929_212712,4.1809,-128.0809,-2.6733,-7.9711,27.1359,-13.7643,3.4939,1.5965,null,null,null,88.225,2199,6.477,566452,433589,572033,664913,595777,641914,620439,543257,621450,572039,54.0225,null,null,null,null,null,null,null,57,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard
FF,9/28/2019,88.8,-0.5612,5.6722,Yusmeiro Petit,608596,433589,field_out,hit_into_play,,,,,14,"Tom Murphy grounds out, shortstop Marcus Semien to first baseman Matt Olson.  ",R,R,R,SEA,OAK,X,6,ground_ball,0,2,2019,-0.4822,1.3285,0.945,2.1908,null,null,null,1,7,Bot,107.74,155.75,,,669221,,190929_030058,4.7921,-129.348,-5.4225,-6.5244,26.2875,-15.9564,3.74,1.8,30,86.1,-1.4,90.177,2111,7.019,566451,433589,669221,621566,641914,656305,543760,543257,592192,657656,53.4802,0.224,0.208,0,1,0,0,2,51,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard
CU,9/28/2019,75.1,-0.4598,5.8383,Yusmeiro Petit,608596,433589,null,called_strike,,,,,14,null,R,R,R,SEA,OAK,S,null,null,0,1,2019,0.8467,0.1545,0.904,2.032,null,null,null,1,7,Bot,null,null,,,669221,,190929_030032,1.3284,-109.4502,-1.0018,6.5428,19.9209,-30.9753,3.3452,1.697,null,null,null,75.186,2082,6.339,566451,433589,669221,621566,641914,656305,543760,543257,592192,657656,54.1609,null,null,null,null,null,null,null,51,2,Curveball,0,1,0,1,1,0,0,1,Strategic,Standard
FC,9/28/2019,84.9,-0.5863,5.7849,Yusmeiro Petit,608596,433589,null,called_strike,,,,,2,null,R,R,R,SEA,OAK,S,null,null,0,0,2019,-0.2369,1.5697,-0.0885,3.0131,null,null,null,1,7,Bot,null,null,,,669221,,190929_025953,1.667,-123.749,-3.384,-2.8133,25.896,-15.3354,3.3192,1.639,null,null,null,85.701,2147,6.824,566451,433589,669221,621566,641914,656305,543760,543257,592192,657656,53.6755,null,null,null,null,null,null,null,51,1,Cutter,0,1,0,1,1,0,0,1,Strategic,Standard
FC,9/28/2019,84.9,-0.7186,5.7643,Yusmeiro Petit,641786,433589,field_out,hit_into_play,,,,,4,"Kyle Lewis grounds out, shortstop Marcus Semien to first baseman Matt Olson.  ",R,R,R,SEA,OAK,X,6,ground_ball,1,0,2019,-0.3609,1.4336,-0.3628,2.7747,null,null,null,0,7,Bot,103.69,154.73,,,669221,,190929_025916,1.5746,-123.635,-3.6043,-4.0528,24.5643,-16.7998,3.4406,1.697,39,99.1,-1.2,85.535,2091,6.65,566451,433589,669221,621566,641914,656305,543760,543257,592192,657656,53.849,0.413,0.396,0,1,0,0,2,50,2,Cutter,0,1,0,1,1,0,0,1,Strategic,Standard
FC,9/28/2019,84.8,-0.6576,5.801,Yusmeiro Petit,641786,433589,null,ball,,,,,12,null,R,R,R,SEA,OAK,B,null,null,0,0,2019,-0.394,1.3354,0.1311,3.8103,null,null,null,0,7,Bot,null,null,,,669221,,190929_025857,2.668,-123.5756,-1.0588,-4.6177,24.2215,-18.2801,3.3568,1.5804,null,null,null,85.667,2064,6.732,566451,433589,669221,621566,641914,656305,543760,543257,592192,657656,53.7678,null,null,null,null,null,null,null,50,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard
CH,9/28/2019,81.4,-2.1188,5.6257,Yusmeiro Petit,572122,433589,field_out,hit_into_play,,,,,4,"Kyle Seager grounds out, third baseman Matt Chapman to first baseman Matt Olson.  ",R,L,R,SEA,OAK,X,5,ground_ball,2,0,2019,-0.8906,1.379,-0.4654,2.3815,null,null,null,2,6,Bot,115.84,141.69,,,669221,,190929_024902,5.5321,-118.4526,-3.3939,-9.6455,23.8431,-18.4719,3.29,1.52,87,60.7,11.7,82.247,1878,6.979,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.521,0.208,0.196,0,1,0,0,2,46,3,Changeup,0,1,0,1,1,0,0,1,Infield shift,Standard
FC,9/28/2019,85.4,-1.9782,5.7073,Yusmeiro Petit,572122,433589,null,ball,,,,,13,null,R,L,R,SEA,OAK,B,null,null,1,0,2019,-0.2122,1.4681,-0.6217,0.2118,null,null,null,2,6,Bot,null,null,,,669221,,190929_024837,3.6665,-124.1238,-9.7345,-2.9742,25.1031,-14.9453,3.3885,1.652,null,null,null,86.205,2138,6.893,566451,433589,669221,621566,641914,656305,543760,640461,592192,657656,53.6066,null,null,null,null,null,null,null,46,2,Cutter,0,1,0,1,1,0,0,1,Infield shift,Standard
