pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,9/28/2019,89.3,-3.42,5.8852,Wander Suero,606992,593833,field_out,hit_into_play,,,,,7,Eric Haase flies out to center fielder Gerardo Parra.  ,R,R,R,WSH,CLE,X,8,fly_ball,0,1,2019,-0.8693,0.2784,-0.3017,1.9063,null,null,641343,2,5,Top,126.23,40.88,,,543228,,190928_220219,9.5265,-129.7901,-4.4275,-11.6978,23.8348,-28.359,3.549,1.627,373,95.7,31.9,89.906,2164,6.454,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.0456,0.258,0.493,0,1,0,0,5,51,2,Changeup,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,93.1,-3.2584,5.9138,Wander Suero,606992,593833,null,foul_tip,,,,,4,null,R,R,R,WSH,CLE,S,null,null,0,0,2019,-0.0316,1.2364,-0.3712,2.1885,null,null,641343,2,5,Top,null,null,,,543228,,190928_220144,7.4747,-135.4518,-6.5436,-1.8484,26.415,-15.7958,3.19,1.48,null,null,null,93.466,2582,6.276,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.2236,null,null,null,null,null,null,null,51,1,Cutter,10,6,6,10,6,10,6,10,Standard,Standard
CH,9/28/2019,89.4,-3.4106,5.8985,Wander Suero,644374,593833,strikeout,swinging_strike_blocked,,,,,13,Yu Chang strikes out swinging.  ,R,R,R,WSH,CLE,S,2,null,1,2,2019,-1.2962,0.1701,-0.4073,0.3766,null,null,641343,1,5,Top,null,null,,,543228,,190928_220104,10.1006,-129.7471,-7.9442,-16.6595,25.3067,-28.8991,3.54,1.65,null,null,null,89.441,2051,6.309,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.1906,null,null,0,1,0,0,null,50,5,Changeup,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,93.7,-3.3052,5.9205,Wander Suero,644374,593833,null,foul,,,,,5,null,R,R,R,WSH,CLE,S,null,null,1,2,2019,0.1843,1.0574,0.0616,2.3568,null,null,641343,1,5,Top,null,null,,,543228,,190928_220032,8.2769,-136.224,-5.8286,0.67,26.8858,-18.0061,3.54,1.65,142,80.7,11.4,93.933,2668,6.25,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.2498,null,null,null,null,null,null,null,50,4,Cutter,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,93.4,-3.3692,5.8885,Wander Suero,644374,593833,null,swinging_strike,,,,,7,null,R,R,R,WSH,CLE,S,null,null,1,1,2019,0.3154,1.0815,-0.7785,2.2281,null,null,641343,1,5,Top,null,null,,,543228,,190928_220005,5.9885,-135.9919,-6.128,2.7778,26.5425,-17.6348,3.54,1.65,null,null,null,94.006,2571,6.367,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.1325,null,null,null,null,null,null,null,50,3,Cutter,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,92.9,-3.2407,5.8627,Wander Suero,644374,593833,null,ball,,,,,14,null,R,R,R,WSH,CLE,B,null,null,0,1,2019,0.3225,1.1649,1.0094,0.9069,null,null,641343,1,5,Top,null,null,,,543228,,190928_215942,10.179,-134.7719,-9.4928,2.0117,26.0401,-16.1539,3.54,1.65,null,null,null,93.343,2584,6.471,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.0281,null,null,null,null,null,null,null,50,2,Cutter,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,91.9,-3.3753,5.9193,Wander Suero,644374,593833,null,called_strike,,,,,5,null,R,R,R,WSH,CLE,S,null,null,0,0,2019,0.0458,1.2237,0.2322,2.5003,null,null,641343,1,5,Top,null,null,,,543228,,190928_215920,9.0546,-133.6217,-5.5191,-1.2166,26.1272,-16.4915,3.54,1.65,null,null,null,92.399,2518,6.425,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.0748,null,null,null,null,null,null,null,50,1,Cutter,10,6,6,10,6,10,6,10,Standard,Standard
FC,9/28/2019,92.6,-3.4465,5.7958,Wander Suero,641343,593833,walk,ball,,,,,13,Jake Bauers walks.  ,R,L,R,WSH,CLE,B,null,null,3,1,2019,-0.0919,1.2271,-0.2247,1.1891,null,null,null,1,5,Top,null,null,,,543228,,190928_215844,8.4105,-134.5112,-8.6272,-2.8302,27.3806,-15.6862,3.36,1.58,null,null,null,92.692,2649,6.303,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.1967,null,null,0.7,1,0,0,null,49,5,Cutter,10,6,6,10,6,10,6,10,Infield shift,Standard
FC,9/28/2019,91.7,-3.3922,5.827,Wander Suero,641343,593833,null,called_strike,,,,,8,null,R,L,R,WSH,CLE,S,null,null,3,0,2019,0.2093,1.2468,0.0098,2.0552,null,null,null,1,5,Top,null,null,,,543228,,190928_215826,8.1667,-133.3596,-6.4343,0.9217,26.1348,-16.0748,3.36,1.58,null,null,null,92.259,2528,6.458,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,54.0417,null,null,null,null,null,null,null,49,4,Cutter,10,6,6,10,6,10,6,10,Infield shift,Standard
FC,9/28/2019,92,-3.4018,5.829,Wander Suero,641343,593833,null,ball,,,,,14,null,R,L,R,WSH,CLE,B,null,null,2,0,2019,0.1474,1.2191,0.7254,1.451,null,null,null,1,5,Top,null,null,,,543228,,190928_215806,10.1664,-133.6007,-7.9527,-0.2354,26.5549,-16.0208,3.36,1.58,null,null,null,92.473,2469,6.511,565974,593833,543228,475582,452678,543685,607208,665742,467827,594809,53.9888,null,null,null,null,null,null,null,49,3,Cutter,10,6,6,10,6,10,6,10,Infield shift,Standard
